ticket_id,customer_email,subject,message,created_at,status,channel
T-20001,tom_p77@hotmail.com,Question about my account,Why is the service fee different at different restaurants? Please look into it.,1781510249000,closed,email
T-20001,tom_p77@hotmail.com,Question about my account,Why is the service fee different at different restaurants? Please look into it.,1781510249000,closed,email
T-20002,maya_i61@proton.me,How do I...,Can I change my order after placing it? Thx,1781564460000,pending,email
T-20003,maya1983@hotmail.com,How do I...,How do I contact the driver?,1781596139000,closed,email
T-20004,kenji_w22@gmail.com,Order cancelled,Order was 84 minutes late with no updates.,1781600795000,pending,web_form
T-20005,nadia1995@gmail.com,Refund request,Food arrived cold. 87 minutes for a 20 minute delivery. Disappointed.,1781692908000,open,chat
T-20006,hugo_h9@hotmail.com,Suggestion for the app,Feature request: let multiple people pay for one order Anyone else?,1781752409000,closed,web_form
T-20007,anna325@proton.me,Receipt is wrong,The cuisine filter resets when I go back. Order was under anna325@proton.me.,1781780330000,closed,chat
T-20008,ethan250@yahoo.co.uk,Delivery area question,Why is the service fee different at different restaurants? Thanks.,1781856486000,closed,chat
T-20009,islax638@outlook.com,Cold food,The refund for my missing items took 8 days Sort it please.,1781962802000,closed,web_form
T-20010,tara1991@gmail.com,Quick question,Where do I find my receipts?,1782064089000,pending,chat
T-20011,ruby_k51@gmail.com,How do I...,Can I pay with PayPal? You can reach me on 07700 900210 or ruby_k51@gmail.com.,1782087781000,closed,email
T-20012,hannah_o43@outlook.com,Delivery area question,How do I delete my account?,1782093992000,open,email
T-20013,anya2004@yahoo.co.uk,Bad experience,Order was 79 minutes late with no updates... Come on. Order was under anya2004@yahoo.co.uk.,1782107140000,open,web_form
T-20014,amara1981@proton.me,An idea for you,Dark theme support please,1782138001000,open,web_form
T-20015,zara_m82@hotmail.com,Missing items,Mama Rosa cancelled my order after 30 minutes of waiting. Third time this month,1782183917000,pending,web_form
T-20015,zara_m82@hotmail.com,Missing items,Mama Rosa cancelled my order after 30 minutes of waiting. Third time this month,1782183917000,pending,web_form
